K;0.5;0.75;1;1.25;1.5;1.75;2;2.25;2.5;2.75;3;3.25;3.5;3.75;4;4.25;4.5;4.75;5;5.25;5.5
0.4;0.916290732;1.16726;1.3474;1.6348;2.02231;2.26687;2.45568;2.74523;3.10538;3.34448;3.5365;3.82723;4.17526;4.410437128;4.604152394;4.895698921;5.236618116;5.468841704;5.663615891;5.955777393;6.291918983
0.41;0.891598119;1.14367;1.32567;1.6047;1.9853;2.23236;2.42372;2.70578;3.05947;3.30163;3.49656;3.78022;4.12203;4.360583837;4.557433222;4.842166702;5.177021692;5.412827181;5.610903443;5.896430876;6.226615593
0.42;0.867500568;1.12052;1.30435;1.57528;1.94895;2.1984;2.39227;2.66704;3.01427;3.2594;3.45721;3.73395;4.06956;4.311398392;4.511363267;4.789421342;5.118222034;5.35752697;5.558886023;5.837903942;6.162141689
0.43;0.84397007;1.09778;1.28344;1.54649;1.91323;2.16494;2.36132;2.62896;2.96976;3.21774;3.41841;3.68839;4.0178;4.26283514;4.465897413;4.737411831;5.060168212;5.302889928;5.507514018;5.780141697;6.098442383
0.44;0.820980552;1.07543;1.26289;1.5183;1.87812;2.13197;2.33083;2.59152;2.92588;3.17662;3.38013;3.64349;3.96671;4.214851864;4.420992979;4.686089913;5.002812055;5.248867588;5.456740421;5.72309213;6.035465681
0.45;0.798507696;1.05342;1.24269;1.49068;1.84357;2.09943;2.30076;2.55466;2.8826;3.13599;3.34233;3.59921;3.91625;4.167403244;4.376609461;4.635409794;4.946107863;5.195413864;5.406520549;5.666705808;5.973162176
0.46;0.776528789;1.03176;1.22281;1.46359;1.80955;2.06731;2.2711;2.51837;2.83989;3.09582;3.30498;3.55551;3.86638;4.120451942;4.332708294;4.585327887;4.890012146;5.142484793;5.356811781;5.610935596;5.911484769
0.47;0.755022584;1.01041;1.20324;1.437;1.77605;2.03557;2.24181;2.48259;2.79771;3.05609;3.26805;3.51235;3.81706;4.073958861;4.289252639;4.535802575;4.834483388;5.090038297;5.307573326;5.555736405;5.850388411
0.48;0.733969175;0.989357;1.18396;1.4109;1.74303;2.00419;2.21286;2.44731;2.75603;3.01674;3.23149;3.46969;3.76826;4.027882285;4.246207181;4.486793993;4.77948183;5.038033966;5.258766008;5.501064961;5.789829875
0.49;0.713349888;0.968578;1.16495;1.38524;1.71047;1.97315;2.18424;2.41249;2.71482;2.97776;3.1953;3.4275;3.71994;3.982196205;4.203537952;4.438263831;4.72496927;4.986432854;5.210352064;5.446879587;5.72976754
0.5;0.693147181;0.948058;1.14619;1.36001;1.67835;1.94241;2.15592;2.3781;2.67406;2.93912;3.15942;3.38575;3.67206;3.936864065;4.161212164;4.390175149;4.670908883;4.935197295;5.162294961;5.393140009;5.670161189
0.51;0.673344553;0.927778;1.12767;1.33519;1.64663;1.91196;2.12788;2.34411;2.63371;2.90078;3.12385;3.3444;3.6246;3.891849698;4.119198045;4.34249221;4.617265042;4.884290728;5.114559223;5.339807164;5.610971824
0.52;0.653926467;0.907723;1.10937;1.31075;1.61531;1.88177;2.10009;2.3105;2.59375;2.86272;3.08855;3.30343;3.57753;3.847122885;4.077464698;4.295180313;4.564003163;4.83367753;5.067110264;5.286843031;5.552161492
0.53;0.634878272;0.887877;1.09127;1.28666;1.58435;1.85182;2.07253;2.27724;2.55415;2.82491;3.05349;3.2628;3.53081;3.802652483;4.035981957;4.248205641;4.51108955;4.78332286;5.019914238;5.234210458;5.493693113
0.54;0.616186139;0.868225;1.07337;1.26292;1.55375;1.82208;2.04519;2.24431;2.51489;2.78732;3.01865;3.22248;3.48441;3.758407999;3.994720253;4.20153512;4.458491247;4.733192508;4.97293788;5.181873005;5.435530324
0.55;0.597837001;0.848754;1.05564;1.23949;1.52347;1.79255;2.01805;2.21167;2.47594;2.74993;2.98401;3.18245;3.43832;3.714357583;3.953650482;4.155136273;4.406175899;4.68325275;4.926148364;5.129794785;5.377637319
0.56;0.579818495;0.82945;1.03808;1.21636;1.49351;1.76319;1.99107;2.17931;2.43728;2.71272;2.94954;3.14268;3.39249;3.670479066;3.91274388;4.108977082;4.354111615;4.633470201;4.879513159;5.077940313;5.319978697
0.57;0.562118918;0.810298;1.02067;1.19352;1.46384;1.73399;1.96425;2.1472;2.39889;2.67566;2.91521;3.10313;3.3469;3.626732668;3.871971895;4.063025856;4.302266829;4.583811677;4.832999884;5.026274355;5.262519311
0.58;0.544727175;0.792188;1.0034;1.17093;1.43445;1.70492;1.93757;2.11533;2.36074;2.63872;2.88101;3.06379;3.30153;3.583094056;3.831306058;4.017251095;4.250610169;4.534244047;4.786576163;4.974761772;5.205224115
0.59;0.527632742;0.772407;0.986252;1.14859;1.40531;1.67598;1.911;2.08366;2.32281;2.60188;2.8469;3.02462;3.25635;3.539535937;3.790717859;3.971621352;4.199110319;4.484734091;4.740209478;4.923367371;5.148058012
0.6;0.510825624;0.753642;0.969219;1.12647;1.37642;1.64713;1.88454;2.05217;2.28508;2.56511;2.81287;2.9856;3.21132;3.496026894;3.750178612;3.926105093;4.14773588;4.43524835;4.693867019;4.872055742;5.090985689
0.61;0.494296322;0.734983;0.952288;1.10457;1.34776;1.61837;1.85815;2.02085;2.24752;2.5284;2.77889;2.94669;3.16643;3.452534375;3.709659321;3.880670558;4.096455229;4.385752975;4.647515522;4.820791096;5.033971464
0.62;0.478035801;0.716418;0.935446;1.08286;1.3193;1.58966;1.83182;1.98966;2.21013;2.49171;2.74493;2.90788;3.12165;3.409033902;3.669130535;3.835285607;4.045236364;4.336213558;4.601121108;4.769537091;4.9769791
0.63;0.46203546;0.697937;0.918681;1.06132;1.29104;1.561;1.80553;1.95859;2.17286;2.45502;2.71098;2.86914;3.07694;3.365492036;3.628562201;3.789917564;3.994046755;4.286594967;4.554649101;4.718259648;4.919971635
0.64;0.446287103;0.679529;0.901981;1.03995;1.26296;1.53237;1.77926;1.92762;2.1357;2.4183;2.677;2.83043;3.03228;3.321880098;3.587923494;3.744533049;3.942853167;4.236861155;4.508063839;4.666911763;4.862911176
0.65;0.430782916;0.661184;0.885335;1.01872;1.23504;1.50373;1.753;1.89672;2.09863;2.38154;2.64296;2.79172;2.98764;3.278163719;3.547182649;3.699097793;3.891621484;4.186974967;4.461328464;4.615463274;4.80575869
0.66;0.415515444;0.642892;0.86873;0.997617;1.20727;1.47509;1.72672;1.86586;2.06163;2.34469;2.60885;2.753;2.943;3.234310734;3.506306763;3.653576443;3.840316511;4.136897913;4.414404698;4.56387065;4.748473771
0.67;0.400477567;0.624642;0.852154;0.976627;1.17963;1.4464;1.7004;1.83503;2.02467;2.30774;2.57464;2.71422;2.89832;3.190286948;3.465261588;3.607932343;3.788901752;4.086589934;4.367252587;4.512091717;4.691014382
0.68;0.385662481;0.606426;0.835593;0.955732;1.15211;1.41767;1.67401;1.8042;1.98772;2.27066;2.54029;2.67536;2.85356;3.146056719;3.424011289;3.562127289;3.737339176;4.036009129;4.319830221;4.460082382;4.633336569
0.69;0.371063681;0.588235;0.819035;0.934916;1.12469;1.38885;1.64755;1.77335;1.95077;2.23341;2.50577;2.63637;2.80871;3.101582714;3.382518184;3.516121263;3.685588939;3.985111453;4.272093415;4.407796303;4.575394139
0.7;0.356674944;0.570058;0.802467;0.914161;1.09735;1.35994;1.62098;1.74244;1.91378;2.19596;2.47105;2.59724;2.76371;3.056825632;3.340742438;3.469872124;3.633609083;3.933850375;4.223995352;4.355184524;4.517138294
0.71;0.342490309;0.551888;0.785875;0.89345;1.07008;1.33091;1.59428;1.71145;1.87672;2.15829;2.4361;2.55792;2.71854;3.011743884;3.298641728;3.423335258;3.581355188;3.882176491;4.175486165;4.302195063;4.458517216
0.72;0.328504067;0.533714;0.769243;0.872765;1.04285;1.30173;1.56742;1.68035;1.83958;2.12035;2.40089;2.51836;2.67316;2.966293234;3.256170841;3.376463179;3.52877997;3.830037073;4.12651247;4.248772427;4.399475586
0.73;0.314710745;0.51553;0.752557;0.852086;1.01565;1.27239;1.54038;1.64912;1.80232;2.08212;2.36537;2.47854;2.62753;2.920426377;3.213281222;3.329205069;3.475832824;3.777375552;4.077016812;4.194857058;4.339954032
0.74;0.301105093;0.497326;0.7358;0.831396;0.988471;1.24285;1.51312;1.61771;1.7649;2.04354;2.3295;2.43841;2.5816;2.874092456;3.169920442;3.281506235;3.422459283;3.724130909;4.02693702;4.140384684;4.279888478
0.75;0.287682072;0.479094;0.718956;0.810672;0.961279;1.21309;1.48561;1.58609;1.7273;2.00459;2.29323;2.39791;2.53532;2.827236488;3.126031569;3.233307476;3.368600386;3.67023697;3.976205453;4.085285555;4.219209383
0.76;0.274436846;0.460827;0.702005;0.789894;0.934056;1.18307;1.45783;1.55423;1.68947;1.9652;2.25652;2.35701;2.48865;2.779798691;3.081552429;3.184544338;3.314191932;3.615621559;3.924748102;4.029483538;4.157840837
0.77;0.261364764;0.442517;0.684928;0.769037;0.906782;1.15278;1.42972;1.52209;1.65138;1.92534;2.21932;2.31563;2.44152;2.731713677;3.036414718;3.135146214;3.259163585;3.560205494;3.872483512;3.972895035;4.09569948
0.78;0.248461359;0.424157;0.667704;0.748078;0.87943;1.12216;1.40125;1.48962;1.61298;1.88495;2.18156;2.27372;2.39389;2.68290949;2.990542937;3.085035273;3.203437806;3.503901378;3.819321491;3.915427679;4.032693202
0.79;0.235722334;0.405739;0.650308;0.726988;0.851975;1.09119;1.37238;1.45676;1.57422;1.84396;2.14317;2.23121;2.34566;2.633306434;2.943853092;3.03412515;3.14692854;3.446612129;3.765161531;3.856978754;3.96871956
0.8;0.223143551;0.387257;0.632715;0.70574;0.824388;1.05982;1.34305;1.42348;1.53504;1.80232;2.10409;2.18803;2.29679;2.582815638;2.89625111;2.982319348;3.089539628;3.388229177;3.709890877;3.797433246;3.903663839
